Strike,Call_Price,Call_Delta,Call_Gamma,Call_Theta,Call_Open_Interest,Put_Price,Put_Delta,Put_Gamma,Put_Theta,Put_Open_Interest,Implied_Volatility_Pct
255.0,43.96,0.698,0.0047,-0.456,3042,16.66,-0.302,0.0047,-0.42,2434,92.62
260.0,34.24,0.698,0.0063,-0.347,3589,11.92,-0.302,0.0063,-0.309,2871,68.93
265.0,25.82,0.696,0.0086,-0.261,4373,8.47,-0.304,0.0086,-0.222,3499,50.23
270.0,18.71,0.685,0.0121,-0.2,5598,6.34,-0.315,0.0121,-0.161,4478,36.53
275.0,13.02,0.646,0.0166,-0.164,7774,5.62,-0.354,0.0166,-0.124,6219,27.84
280.0,9.0,0.563,0.0202,-0.149,12718,6.58,-0.437,0.0202,-0.109,10174,24.14
285.0,7.0,0.465,0.0194,-0.154,9550,9.57,-0.535,0.0194,-0.113,7640,25.45
290.0,7.01,0.403,0.0151,-0.181,6463,14.55,-0.597,0.0151,-0.139,5171,31.75
295.0,8.76,0.385,0.011,-0.236,4885,21.28,-0.615,0.011,-0.193,3908,43.06
300.0,12.13,0.394,0.008,-0.321,3926,29.63,-0.606,0.008,-0.278,3140,59.36
305.0,17.15,0.414,0.006,-0.437,3281,39.63,-0.586,0.006,-0.393,2625,80.66
