Strike,Call_Price,Call_Delta,Call_Gamma,Call_Theta,Call_Open_Interest,Put_Price,Put_Delta,Put_Gamma,Put_Theta,Put_Open_Interest,Implied_Volatility_Pct
3150.0,2065.99,0.81,0.0,-25.587,3890,1811.38,-0.19,0.0,-25.003,3501,579.95
3200.0,1425.16,0.721,0.0001,-20.189,4829,1220.27,-0.279,0.0001,-19.596,4346,367.9
3250.0,847.92,0.646,0.0002,-12.64,6367,692.75,-0.354,0.0002,-12.038,5730,205.84
3300.0,411.76,0.6,0.0004,-6.168,9340,306.31,-0.4,0.0004,-5.556,8406,93.79
3350.0,151.75,0.59,0.0013,-2.34,17526,96.03,-0.41,0.0013,-1.72,15774,31.73
3400.0,79.18,0.524,0.0021,-1.584,30354,73.18,-0.476,0.0021,-0.954,27318,19.68
3450.0,203.22,0.502,0.0007,-3.999,12056,246.93,-0.498,0.0007,-3.36,10850,57.62
3500.0,522.03,0.557,0.0003,-9.556,7521,615.46,-0.443,0.0003,-8.908,6769,145.56
3550.0,1021.13,0.639,0.0001,-17.397,5466,1164.29,-0.361,0.0001,-16.739,4919,283.51
3600.0,1649.48,0.737,0.0001,-25.042,4292,1842.36,-0.263,0.0001,-24.375,3863,471.45
3650.0,2303.23,0.837,0.0,-28.355,3534,2545.84,-0.163,0.0,-27.679,3180,709.4
